method,samples,valid_count,valid_rate,center_in_rate,collision_rate,collision_area_ratio,normalized_area,mean_latency_ms,native_area_mean
decomputil,11986,11986,1.0,0.9965793425663274,0.01777073252127482,0.0009687008175712909,0.7679234748218565,3.1737805334579545,3743.172822412597
firi,11986,11986,1.0,1.0,8.34306691139663e-05,7.95112213915689e-07,0.9704443224395521,38.818370427747695,4602.6312395087925
iris,11986,11986,1.0,1.0,0.0002502920073418989,1.6639222800712535e-06,0.962783894622645,183.33174053253757,4583.648221639845
ours_corridor_cpp,11986,11986,1.0,0.9983313866177207,0.0,3.6569623076894946e-08,0.9459881512861524,2.4476366594373995,4562.412594443813
