method,samples,valid_count,valid_rate,center_in_rate,collision_rate,collision_area_ratio,normalized_area,mean_latency_ms,native_area_mean
largest_empty_circle,11986,11986,1.0,1.0,0.0,0.0,nan,0.10971502592948104,897.6548344334897
rotated_rectangle,11986,11986,1.0,1.0,0.0024194894043050225,3.5859179149474535e-05,nan,0.930209260757886,1849.8606892161117
heuristic_ellipse_fit,11986,11986,1.0,1.0,0.0,3.934843686866314e-06,nan,14.82519692975656,1419.562805004035
segmentation_polygon_postprocess,11986,11986,1.0,1.0,0.0,0.0,nan,8.485679768120223,1502.7254042264624
direct_polygon_regression,11986,11986,1.0,1.0,0.0,7.322810292214304e-06,nan,3.934641498462167,1879.3983137826572
